dataset,lambda,evaluated_events,hit_at_1,hit_at_3,hit_at_5,hit_at_10,mrr
WaDI_A2_ds10,0.0,12,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.38912037037037034
WaDI_A2_ds10,0.05,12,0.3333333333333333,0.4166666666666667,0.5,0.5,0.3819444444444444
WaDI_A2_ds10,0.1,12,0.25,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.2986111111111111
WaDI_A2_ds10,0.15,12,0.25,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.2986111111111111
WaDI_A2_ds10,0.2,12,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.2569444444444445
WaDI_A2_ds10,0.25,12,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.2152777777777778
WaDI_A2_ds10,0.3,12,0.0,0.25,0.3333333333333333,0.3333333333333333,0.11805555555555554
WaDI_A2_ds10,0.35,12,0.0,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.06884920634920634
WaDI_A2_ds10,0.4,12,0.0,0.08333333333333333,0.16666666666666666,0.25,0.05694444444444444
WaDI_A2_ds10,0.45,12,0.0,0.08333333333333333,0.16666666666666666,0.25,0.05694444444444444
WaDI_A2_ds10,0.5,12,0.0,0.08333333333333333,0.16666666666666666,0.25,0.05694444444444444
WaDI_A2_ds10,0.55,12,0.0,0.08333333333333333,0.16666666666666666,0.25,0.05694444444444444
WaDI_A2_ds10,0.6,12,0.0,0.08333333333333333,0.16666666666666666,0.25,0.05694444444444444
WaDI_A2_ds10,0.65,12,0.0,0.08333333333333333,0.16666666666666666,0.25,0.05694444444444444
WaDI_A2_ds10,0.7,12,0.0,0.08333333333333333,0.16666666666666666,0.25,0.05694444444444444
WaDI_A2_ds10,0.75,12,0.0,0.08333333333333333,0.16666666666666666,0.25,0.05694444444444444
WaDI_A2_ds10,0.8,12,0.0,0.08333333333333333,0.16666666666666666,0.25,0.05694444444444444
WaDI_A2_ds10,0.85,12,0.0,0.08333333333333333,0.16666666666666666,0.25,0.05694444444444444
WaDI_A2_ds10,0.9,12,0.0,0.08333333333333333,0.16666666666666666,0.25,0.05694444444444444
WaDI_A2_ds10,0.95,12,0.0,0.08333333333333333,0.16666666666666666,0.25,0.05694444444444444
WaDI_A2_ds10,1.0,12,0.0,0.08333333333333333,0.16666666666666666,0.25,0.05694444444444444
